Fold,Macro_AUC,Macro_AUC_Interp,Micro_AUC,Weighted_AUC,Samples_AUC
1,0.9987091057996123,0.999007417596792,0.999014199718942,0.997806483822919,0.9969387755102039
2,0.9989001508104023,0.9989662823694014,0.998883549342265,0.9980844014435042,0.9929078014184397
3,0.9366092787936091,0.936657990265434,0.9992926613616269,0.9989048120847028,0.9959183673469388
4,0.9976920146473502,0.9979067314650896,0.9978762903997074,0.996691428662112,0.9932823129251702
5,0.9962860325047189,0.9964162516500039,0.9961380736725741,0.9917309424197313,0.991306954436451
6,0.9960035825232239,0.996019378884019,0.9912348892771814,0.9895576676869334,0.9927201096265844
7,0.9905078396344261,0.9908568910757629,0.9917091609314268,0.9880815133345544,0.9835560123329908
8,0.9324604347821848,0.9327399731133814,0.9957136780968584,0.9936867964026485,0.9888888888888889
9,0.9930360409810459,0.9936530911739544,0.9949602122015916,0.9913453167085837,0.9877551020408163
10,0.9966338113194305,0.9966976877714986,0.996940412937275,0.9917941490265717,0.9932339842411784
